shirtnumber
nationality
position
age
minutes
goals
assists
pens_made
pens_att
shots_total
shots_on_target
cards_yellow
cards_red
touches
pressures
tackles
interceptions
blocks
xg
npxg
xa
sca
gca
passes_completed
passes
passes_pct
progressive_passes
carries
progressive_carries
dribbles_completed
dribbles
player_id
name
assisted_shots
crosses_into_penalty_area
passes_completed_long
passes_completed_medium
passes_completed_short
passes_into_final_third
passes_into_penalty_area
passes_long
passes_medium
passes_pct_long
passes_pct_medium
passes_pct_short
passes_progressive_distance
passes_short
passes_total_distance
corner_kicks
corner_kicks_in
corner_kicks_out
corner_kicks_straight
crosses
passes_blocked
passes_dead
passes_free_kicks
passes_ground
passes_head
passes_high
passes_intercepted
passes_left_foot
passes_live
passes_low
passes_offsides
passes_oob
passes_other_body
passes_pressure
passes_right_foot
passes_switches
through_balls
throw_ins
blocked_passes
blocked_shots
blocked_shots_saves
clearances
dribble_tackles
dribble_tackles_pct
dribbled_past
dribbles_vs
errors
pressure_regain_pct
pressure_regains
pressures_att_3rd
pressures_def_3rd
pressures_mid_3rd
tackles_att_3rd
tackles_def_3rd
tackles_interceptions
tackles_mid_3rd
tackles_won
carries_into_final_third
carries_into_penalty_area
carry_distance
carry_progressive_distance
dispossessed
dribbles_completed_pct
miscontrols
nutmegs
pass_targets
passes_received
passes_received_pct
players_dribbled_past
progressive_passes_received
touches_att_3rd
touches_att_pen_area
touches_def_3rd
touches_def_pen_area
touches_live_ball
touches_mid_3rd
aerials_lost
aerials_won
aerials_won_pct
ball_recoveries
cards_yellow_red
fouled
fouls
offsides
own_goals
pens_conceded
pens_won
game_id
team_id
team_location
